HTTP_URL,ServerAPI,Midi Mapping,Description,GroupType,Action-Type(Arguments),Midi MsgType,Midi Chanel,Midi Note_CC,External Executable,External Cmd
/logout,LogoutHandler(),disabled,Log out from the server,Exit,void action(),,,,,
/tlogo,LogoToggleHandler(),enabled,Touggle Logo,Screen,void action(),NoteOn,16,2,,
/black,BlackToggleHandler(),enabled,,Screen,void action(),NoteOn,16,1,,
/clear,ClearToggleHandler(),enabled,,Screen,void action(),NoteOn,16,0,,
/next,NextSlideHandler(),enabled,,Navigate,void action(),NoteOn,16,5,,
/prev,PreviousSlideHandler(),enabled,,Navigate,void action(),NoteOn,16,4,,
/nextitem,new NextItemHandler(),enabled,,Navigate,void action(),NoteOn,16,6,,
/previtem,PreviousItemHandler(),enabled,,Navigate,void action(),NoteOn,16,3,,
/play,PlayHandler(),enabled,,Multimeda,void action(),NoteOn,16,8,,
/lyrics,LyricsHandler(),disabled,,,HTML get(),,,,,
/chords,ChordsHandler(),disabled,,,HTML get(),,,,,
/status,StatusHandler(),disabled,,,HTML get(),,,,,
/schedule,ScheduleHandler(),disabled,,,HTML get(),,,,,
/songsearch,SongSearchHandler(),disabled,,,HTML get(string),,,,,
/search,DatabaseSearchHandler(),disabled,,,,,,,,
/song,SongDisplayHandler(),disabled,,,,,,,,
/add,AddSongHandler(),disabled,,,,,,,,
/addbible,AddBibleHandler(),disabled,,,,,,,,
/translations,ListBibleTranslationsHandler(),disabled,,,,,,,,
/books,ListBibleBooksHandler(),disabled,,,,,,,,
/passage,PassageSelecterHandler(),disabled,,,,,,,,
/sidebar.png,"FileHandler(""icons/sidebar.png"")",disabled,,,,,,,,
/logo.png,"FileHandler(""icons/logo-square.png"")",disabled,,,,,,,,
/section,SectionHandler(),enabled,,Navigate,void action(int velocity),NoteOn,16,7,,
/songtranslations,SongTranslationsHandler(),disabled,,,,,,,,
/gettranslation,SongTranslationsHandler(),disabled,,,,,,,,
/record,RecordToggleHandler(),disabled,,Multimeda,void action(),NoteOn,16,9,,
/gotoitem,GotoItemHandler(),enabled,,Navigate,void action(int velocity),NoteOn,16,9,,
/remove,RemoveItemHandler(),disabled,,,,,,,,
/getthemes,GetThemesHandler(),disabled,,,,,,,,
/settheme,SetThemeHandler(),disabled,,,,,,,,
/moveup,MoveItemUpHandler(),disabled,,,,,,,,
/movedown,MoveItemDownHandler(),disabled,,,,,,,,
/themethumb,ThemeThumbnailsHandler(),disabled,,,,,,,,
/slides,PresentationSlidesHandler(),disabled,,,,,,,,
/transpose,TransposeSongHandler(),enabled,,Edit,void action(int velocity),NoteOn,16,10,,
